"IX","IY","IZ","X","Y","Z","Mined Block","Period Mined","Period Processed","Destination","Grade_Cu_%","Value","Specific Gravity","Slope","process","waste","Sum_process_hours"
"5","4","1","55,000,000","45,000,000","15,000,000","1","3","3","1","0.420000","33,325,427,191","2,980,000","45,000,000","41142.5","-2980","10"
"4","5","1","45,000,000","55,000,000","15,000,000","1","3","3","1","0.420000","33,325,427,191","2,980,000","45,000,000","41142.5","-2980","10"
"5","3","2","55,000,000","35,000,000","25,000,000","1","3","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"4","4","2","45,000,000","45,000,000","25,000,000","1","3","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"5","4","2","55,000,000","45,000,000","25,000,000","1","2","2","1","0.760000","78,643,044,127","3,010,000","45,000,000","87381.2","-3010","10"
"6","4","2","65,000,000","45,000,000","25,000,000","1","1","1","1","0.200000","16,668,921,233","2,950,000","45,000,000","11668.2","-2950","10"
"3","5","2","35,000,000","55,000,000","25,000,000","1","3","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"4","5","2","45,000,000","55,000,000","25,000,000","1","2","2","1","0.570000","43,466,021,202","3,010,000","45,000,000","61773.4","-3010","10"
"5","5","2","55,000,000","55,000,000","25,000,000","1","3","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"6","5","2","65,000,000","55,000,000","25,000,000","1","1","1","1","0.760000","87,381,151,470","3,010,000","45,000,000","87381.2","-3010","10"
"4","6","2","45,000,000","65,000,000","25,000,000","1","2","2","1","0.160000","7,930,532,556","2,850,000","45,000,000","6168.17","-2850","10"
"5","6","2","55,000,000","65,000,000","25,000,000","1","2","2","1","0.470000","55,596,031,652","3,010,000","45,000,000","48295.6","-3010","10"
"5","2","3","55,000,000","25,000,000","35,000,000","1","3","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"4","3","3","45,000,000","35,000,000","35,000,000","1","2","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"5","3","3","55,000,000","35,000,000","35,000,000","1","1","1","1","0.110000","-212,508,312","2,850,000","45,000,000","-212,508","-2850","10"
"6","3","3","65,000,000","35,000,000","35,000,000","1","2","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"3","4","3","35,000,000","45,000,000","35,000,000","1","3","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"4","4","3","45,000,000","45,000,000","35,000,000","1","2","2","1","0.130000","4,402,831,661","2,850,000","45,000,000","2339.76","-2850","10"
"5","4","3","55,000,000","45,000,000","35,000,000","1","1","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"6","4","3","65,000,000","45,000,000","35,000,000","1","2","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"7","4","3","75,000,000","45,000,000","35,000,000","1","3","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"2","5","3","25,000,000","55,000,000","35,000,000","1","3","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"3","5","3","35,000,000","55,000,000","35,000,000","1","2","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"4","5","3","45,000,000","55,000,000","35,000,000","1","1","1","1","0.700000","79,294,482,466","3,010,000","45,000,000","79294.5","-3010","10"
"5","5","3","55,000,000","55,000,000","35,000,000","1","2","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"6","5","3","65,000,000","55,000,000","35,000,000","1","1","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"7","5","3","75,000,000","55,000,000","35,000,000","1","2","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"3","6","3","35,000,000","65,000,000","35,000,000","1","3","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"4","6","3","45,000,000","65,000,000","35,000,000","1","1","1","1","0.150000","2,339,764,644","2,850,000","45,000,000","4892.03","-2850","10"
"5","6","3","55,000,000","65,000,000","35,000,000","1","1","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"6","6","3","65,000,000","65,000,000","35,000,000","1","2","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"7","6","3","75,000,000","65,000,000","35,000,000","1","3","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"4","7","3","45,000,000","75,000,000","35,000,000","1","3","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"5","7","3","55,000,000","75,000,000","35,000,000","1","2","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"5","1","4","55,000,000","15,000,000","45,000,000","1","3","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"3","2","4","35,000,000","25,000,000","45,000,000","1","2","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"4","2","4","45,000,000","25,000,000","45,000,000","1","2","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"5","2","4","55,000,000","25,000,000","45,000,000","1","2","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"6","2","4","65,000,000","25,000,000","45,000,000","1","2","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"7","2","4","75,000,000","25,000,000","45,000,000","1","2","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"2","3","4","25,000,000","35,000,000","45,000,000","1","3","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"3","3","4","35,000,000","35,000,000","45,000,000","1","2","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"4","3","4","45,000,000","35,000,000","45,000,000","1","1","1","1","0.110000","33,136,433,644","2,850,000","45,000,000","-212,508","-2850","10"
"5","3","4","55,000,000","35,000,000","45,000,000","1","1","1","1","0.820000","49,643,361,776","3,010,000","45,000,000","95467.8","-3010","10"
"6","3","4","65,000,000","35,000,000","45,000,000","1","1","1","1","0.360000","6,168,177,855","2,850,000","45,000,000","33136.4","-2980","10"
"7","3","4","75,000,000","35,000,000","45,000,000","1","2","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"2","4","4","25,000,000","45,000,000","45,000,000","1","3","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"3","4","4","35,000,000","45,000,000","45,000,000","1","1","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"4","4","4","45,000,000","45,000,000","45,000,000","1","1","1","1","0.500000","95,467,821,320","3,010,000","45,000,000","52338.9","-3010","10"
"5","4","4","55,000,000","45,000,000","45,000,000","1","1","1","1","0.160000","52,338,915,441","3,010,000","45,000,000","6168.17","-2850","10"
"6","4","4","65,000,000","45,000,000","45,000,000","1","1","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"7","4","4","75,000,000","45,000,000","45,000,000","1","1","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"8","4","4","85,000,000","45,000,000","45,000,000","1","3","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"1","5","4","15,000,000","55,000,000","45,000,000","1","3","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"2","5","4","25,000,000","55,000,000","45,000,000","1","2","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"3","5","4","35,000,000","55,000,000","45,000,000","1","1","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"4","5","4","45,000,000","55,000,000","45,000,000","1","1","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"5","5","4","55,000,000","55,000,000","45,000,000","1","1","1","1","0.480000","-212,508,312","2,850,000","45,000,000","49643.4","-3010","10"
"6","5","4","65,000,000","55,000,000","45,000,000","1","1","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"7","5","4","75,000,000","55,000,000","45,000,000","1","1","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"8","5","4","85,000,000","55,000,000","45,000,000","1","2","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"2","6","4","25,000,000","65,000,000","45,000,000","1","3","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"3","6","4","35,000,000","65,000,000","45,000,000","1","1","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"4","6","4","45,000,000","65,000,000","45,000,000","1","1","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"5","6","4","55,000,000","65,000,000","45,000,000","1","1","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"6","6","4","65,000,000","65,000,000","45,000,000","1","1","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"7","6","4","75,000,000","65,000,000","45,000,000","1","1","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"8","6","4","85,000,000","65,000,000","45,000,000","1","3","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"2","7","4","25,000,000","75,000,000","45,000,000","1","3","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"3","7","4","35,000,000","75,000,000","45,000,000","1","3","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"4","7","4","45,000,000","75,000,000","45,000,000","1","1","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"5","7","4","55,000,000","75,000,000","45,000,000","1","1","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"6","7","4","65,000,000","75,000,000","45,000,000","1","1","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"7","7","4","75,000,000","75,000,000","45,000,000","1","3","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"4","8","4","45,000,000","85,000,000","45,000,000","1","3","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"5","8","4","55,000,000","85,000,000","45,000,000","1","2","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
